source,target
Naihua Duan,Ker Chau Li
Dennis Cook,Lexin Li
Bing 2 Li,Lexin Li
Richard Huggins,Ning 1 Li
Robert M. Elashoff,Ning 2 Li
Gang 2 Li,Ning 2 Li
Jeng-min Chiou,Pai-ling Li
Jiahua Chen,Pengfei Li
Yuejiao Fu,Pengfei Li
Anne Buu,Runze Li
Jianqing Fan,Runze Li
Kai Tai Fang,Runze Li
Bo Kai,Runze Li
Jiahan Li,Runze Li
Narayanaswamy Balakrishnan,T. Li
Pak Wing Fong,Wai Keung Li
Guodong Li,Wai Keung Li
Xia 1 Chen,Wenbo Li
Andrea S. Foulkes,Xiaohong Li
Gaofeng Da,Xiaohu Li
Barry Graubard,Yan 1 Li
Raymond Carroll,Yehua Li
Yongtao 1 Guan,Yehua Li
Tailen Hsing,Yehua Li
Andrea J. Cook,Yi 2 Li
Joseph Ibrahim,Yimei 1 Li
Qingzhu Lei,Yinghua Li
Yuan Ji,Yisheng Li
Waicheung Ip,Yuan Li
Donald Dawson,Zenghu Li
Joseph L. Gastwirth,Zhaohai Li
Yun Gong,Zhouping Li
Xiaohu Li,Zhouping Li
Zhaoping Hong,Heng Lian
Yuao Hu,Heng Lian
Peng Lai,Heng Lian
Gaorong Li,Heng Lian
Jianbo Li,Heng Lian
Jong-il Baek,Han-ying Liang
Jacobo De Uña-álvarez,Han-ying Liang
Guo-liang Fan,Han-ying Liang
Bingyi Jing,Han-ying Liang
Raymond Carroll,Hua Liang
Pang Du,Hua Liang
Wolfgang Härdle,Hua Liang
Runze Li,Hua Liang
Heng Lian,Hua Liang
Kai Tai Fang,Jiajuan Liang
John J. Hanfelt,Kung Yee Liang
Bradley Carlin,Shengde Liang
Yuan Ji,Shoudan Liang
Feng Shun Chai,Chen-tuo Liao
Hari Iyer,Chen-tuo Liao
Lawrence Carin,Xuejun Liao
Jianqing Fan,Yuan 1 Liao
Narayanaswamy Balakrishnan,Donald Lien
Per Anderson,Knut Liestøl
Ørnulf Borgan,Knut Liestøl
Maury Bramson,Thomas M. Liggett
Stefano Favaro,Antonio Lijoi
Lancelot James,Antonio Lijoi
Fabrizio Leisen,Antonio Lijoi
Sarat C. Dass,Chae Young Lim
Min 3 Chen,Johan Lim
Francisco Cribari-neto,Maria Da Glória A. Lima
Narayanaswamy Balakrishnan,Chien-tai Lin
Fred Huffer,Chien-tai Lin
Patrick G. Arbogast,Danyu Y. Lin
Debashis Ghosh,Danyu Y. Lin
Zhezhen Jin,Danyu Y. Lin
Michal Kulich,Danyu Y. Lin
Kashinath Chatterjee,Dennis Lin
Lih-yuan Deng,Dennis Lin
Norman Draper,Dennis Lin
Kai Tai Fang,Dennis Lin
Irwin Guttman,Dennis Lin
Heather G. Allore,Haiqun Lin
Gang 2 Li,Huazhen Lin
Yi 2 Li,Huazhen Lin
Michael D. Hughes,Hung-mo Lin
Ming-hui Chen,Jianxin Lin
Joseph Ibrahim,Jianxin Lin
Michael Elliott,Julia Y. Lin
Rabi Bhattacharya,Lizhen Lin
Xia Cui,Lu Lin
Yujie Gai,Lu Lin
Rong 1 Chen,Ming 2 Lin
Patrick S. Carmack,Qihua Lin
Richard F. Gunst,Qihua Lin
Robert W. Haley,Qihua Lin
Abbas Khalili,Shili Lin
Chen-tuo Liao,Tsai-yu Lin
Rui 2 Feng,Wei 2 Lin
Hongzhe Li,Wei 2 Lin
Joseph Ibrahim,Weili Lin
Yimei 1 Li,Weili Lin
Raymond Carroll,Xihong Lin
Lee Dicker,Xihong Lin
Siobán D. Harlow,Xihong Lin
Yi 2 Li,Xihong Lin
Hao Helen Zhang,Yi 1 Lin
Yongho Jeon,Yi 1 Lin
Jia Chen,Zhengyan Lin
Degui Li,Zhengyan Lin
Wenbo Li,Werner Linde
Stuart G. Baker,Karen S. Lindeman
David Bolin,Finn Lindgren
Peter Brockwell,Alexander Lindner
Ayanendranath Basu,Bruce Lindsay
Dankmar Böhning,Bruce Lindsay
Shu-chuan Chen,Bruce Lindsay
Daeyoung Kim,Bruce Lindsay
Bing 2 Li,Bruce Lindsay
Byron Jones,J. K. Lindsey
J. K. Lindsey,Patrick Lindsey
Dong Li,Shiqing Ling
Wai Keung Li,Shiqing Ling
Wolfgang Härdle,Oliver Linton
Garrett Fitzmaurice,Steven Lipshultz
Joseph Ibrahim,Steven Lipshultz
Dipankar 1 Bandyopadhyay,Stuart Lipsitz
Rickey E. Carter,Stuart Lipsitz
Ming-hui Chen,Stuart Lipsitz
Garrett Fitzmaurice,Stuart Lipsitz
Atul A. Gawande,Stuart Lipsitz
David Harrington,Stuart Lipsitz
Nick Horton,Stuart Lipsitz
Joseph Ibrahim,Stuart Lipsitz
Nan Laird,Stuart Lipsitz
Yan Lin,Stuart Lipsitz
Steven Lipshultz,Stuart Lipsitz
Marie Chavent,Benoit Liquet
Daniel Commenges,Benoit Liquet
Ariel Alonso,Saskia Litière
Michael Elliott,Roderick Little
Xihong Lin,Roderick Little
Edmund Gehan,Aiyi Liu
W. J. Hall,Aiyi Liu
Zhaohai Li,Aiyi Liu
Faming Liang,Chuanhai Liu
Aiyi Liu,Chunling Liu
Min 1 Chen,Feng Liu
Jianhua Hu,Fuxiang Liu
Fang Han,Han Liu
John Lafferty,Han Liu
Jiunn Tzon Hwang,Hung-kung Liu
Alan Agresti,I-ming Liu
Shein-chung Chow,Jen-pei Liu
Jian Huang,Jin 1 Liu
Waicheung Ip,Jinshan Liu
Rong 1 Chen,Jun 1 Liu
Yuguo Chen,Jun 1 Liu
Ke Deng,Jun 1 Liu
Bo 1 Jiang,Jun 1 Liu
Augustine Kong,Jun 1 Liu
Paul Gustafson,Juxin Liu
Jinsong Chen,Lei Liu
Xuelin Huang,Lei Liu
Chu In Charles Lee,Lin 1 Liu
Jianhua Huang,Linxu Liu
Jie 6 Chen,Minqian Liu
Fred J. Hickernell,Minqian Liu
Pengfei Li,Minqian Liu
Dennis Lin,Minqian Liu
John Crowley,Ping Yu Liu
Jun 1 Li,Regina Liu
David Donoho,Richard C. Liu
Pascal Ah-kine,Wei 3 Liu
Frank Bretz,Wei 3 Liu
Tony Hayter,Wei 3 Liu
Mortaza Jamshidian,Wei 3 Liu
S. Kiatsupaibul,Wei 3 Liu
Tony Hayter,Wei 8 Liu
Tony Cai,Weidong Liu
Zhengyan Lin,Weidong Liu
Hua Liang,Xiang Liu
Kashinath Chatterjee,Xin 3 Liu
Kung Yee Liang,Xinhua Liu
Jianwen Cai,Yanyan Liu
Hao Helen Zhang,Yufeng Liu
Hanwen Huang,Yufeng Liu
Jiahua Chen,Yukun Liu
Bingyi Jing,Zhi Liu
Xinbing Kong,Zhi Liu
Wensheng Guo,Ziyue Liu
George Box,Greta M. Ljung
Ray-bing Chen,Mong-na Lo Huang
Baisuo Jin,Mong-na Lo Huang
Chun-sui Lin,Mong-na Lo Huang
Min Te Chao,Shaw-hwa Lo
Kani Chen,Shaw-hwa Lo
Gemai Chen,Richard Lockhart
Grace Chiu,Richard Lockhart
Peter Guttorp,Richard Lockhart
Richard Huggins,Danuta Z. Loesch
Els Goetghebeur,T. Loeys
John Klein,Brent Logan
Probal Chaudhuri,Wei-yin Loh
Hanfeng Chen,Wei-yin Loh
Kwanho Cho,Wei-yin Loh
Wenceslao González-manteiga,María José Lombardía
Michael G. Hudgens,Dustin M. Long
Matthias Chung,Qi Long
Brent A. Johnson,Qi Long
Xihong Lin,Qi Long
Roderick Little,Qi Long
Michael Haber,Ira M. Longini
M. Elizabeth Halloran,Ira M. Longini
Michael G. Hudgens,Ira M. Longini
Carlos Carvalho,Hedibert F. Lopes
Ricardo Cao,Ignacio López-de-ullibarri
Cécile Durot,Hendrik P. Lopuhaä
Piet Groeneboom,Hendrik P. Lopuhaä
Vladimir N. Kulikov,Hendrik P. Lopuhaä
Somnath Datta,Douglas J. Lorenz
Reinaldo B. Arellano-valle,Rosangela H. Loschi
James Fu,W. Y. Wendy Lou
Jérémie Bigot,Jean-michel Loubes
Fabrice Gamboa,Jean-michel Loubes
Rebecca Betensky,David N. Louis
J. Gregory Cairncross,David N. Louis
Francesca Dominici,Thomas A. Louis
Nan Laird,Thomas A. Louis
Jorge Alberto Achcar,Francisco Louzada
Gladys D. Cacsire Barriga,Francisco Louzada
Vicente G. Cancho,Francisco Louzada
Gleici Castro Perdoná,Francisco Louzada
Lawrence 1 Brown,Mark Low
Tony Cai,Mark Low
Sam Efromovich,Mark Low
A. E. Ades,Guobing Lu
Nicola J. Cooper,Guobing Lu
Gouri K. Bhattacharyya,Jye-chyi Lu
Di Chen,Jye-chyi Lu
Tian Chen,Naiji Lu
Changyong Feng,Naiji Lu
Douglas Gunzler,Naiji Lu
Richard K. Burdick,Tai-fang C. Lu
Franklin A. Graybill,Tai-fang C. Lu
Hao Helen Zhang,Wenbin Lu
Lexin Li,Wenbin Lu
Yu Liang,Wenbin Lu
Mengling Liu,Wenbin Lu
Anthony Desmond,Xuewen Lu
Wanrong Liu,Xuewen Lu
Yuan Ji,Yiling Lu
Jiti Gao,Zudi Lu
Marc Hallin,Zudi Lu
Lanh Tat Tran,Zudi Lu
Mitchell Gail,Jay H. Lubin
Lawrence Carin,Joseph Lucas
Marc Lavielle,Carenne Ludeña
Stéphane Boucheron,Gábor Lugosi
Sébastien Bubeck,Gábor Lugosi
Luc Devroye,Gábor Lugosi
László Györfi,Gábor Lugosi
Petra Bůžková,Thomas Lumley
Patrick Heagerty,Thomas Lumley
Ishwar Basawa,Robert Lund
Jaechoul Lee,Robert Lund
Qiqi Lu,Robert Lund
Bent Jørgensen,Søren Lundbye-christensen
Nicky Best,David Lunn
Nilanjan Chatterjee,Sheng Luo
Ciprian Crainiceanu,Sheng Luo
Kelly K. Hunt,Sheng Luo
Chiung-yu Huang,Xianghua Luo
Haiyan Cai,Xiaolong Luo
Joseph Gardiner,Zhehui Luo
Tae Yoon Kim,Zhi-ming Luo
Raymond Carroll,Joanne R. Lupton
Robert S. Chapkin,Joanne R. Lupton
Meeyoung Hong,Joanne R. Lupton
Peter Bühlmann,Roman Werner Lutz
Yingying Fan,Jinchi Lv
Jicai Liu,Yazhao Lv
Petter Laake,Stian Lydersen
Lawrence L. Kupper,Robert H. Lyles
Hung-mo Lin,Robert H. Lyles
Ji Lin,Robert H. Lyles
Itai Benjamini,Russell Lyons
Chong Gu,Ping Ma
Pang Du,Shuangge Ma
Jian Huang,Shuangge Ma
Huang Jian,Shuangge Ma
Michael R. Kosorok,Shuangge Ma
Jialiang Li,Shuangge Ma
Jin 1 Liu,Shuangge Ma
Hua Liang,Shujie Ma
Raymond Carroll,Yanyuan Ma
Marc G. Genton,Yanyuan Ma
Peter Hall,Yanyuan Ma
Jeffrey Hart,Yanyuan Ma
Tony Cai,Zongming Ma
Zhi Geng,Zongming Ma
Jianhua Huang,Mehdi Maadooliat
Peter Bühlmann,Marloes H. Maathuis
Diego Colombo,Marloes H. Maathuis
Markus Kalisch,Marloes H. Maathuis
L. Mark Berliner,Steven Maceachern
Subharup Guha,Steven Maceachern
Juhee Lee,Steven Maceachern
Gina Bravo,Brenda Macgibbon
Patrick J. Farrell,Brenda Macgibbon
Iain Johnstone,Brenda Macgibbon
Charmaine Dean,Ying C. Macnab
Paul Gustafson,Ying C. Macnab
Steen Andersson,David Madigan
Randall S. Burd,David Madigan
Jennifer A. Hoeting,David Madigan
Thomas Jaki,Dominic Magirr
Andrés M. Alonso,Elizabeth Ann Maharaj
Sylvie Chevret,Cedric Mahe
Frank Den Hollander,G. Maillard
Arijit Chaudhuri,Tapabrata Maiti
Sarat C. Dass,Tapabrata Maiti
Gauri Datta,Tapabrata Maiti
Malay Ghosh,Tapabrata Maiti
Peter Hall,Tapabrata Maiti
Chae Young Lim,Tapabrata Maiti
Raymond Carroll,Arnab Maity
S. Hedayat,Dibyen Majumdar
Mike Jacroux,Dibyen Majumdar
Lai K. Chan,Tak K. Mak
Anthony Kuk,Tak K. Mak
Wai Keung Li,Tak K. Mak
George Iliopoulos,Sonia Malefaki
Narayanaswamy Balakrishnan,Henrick J. Malik
Ron Doney,Ross Maller
Harry Kesten,Ross Maller
Veerabhadran Baladandayuthapani,Bani Mallick
Raymond Carroll,Bani Mallick
David G. T. Denison,Bani Mallick
Alan Gelfand,Bani Mallick
Malay Ghosh,Bani Mallick
Chris Holmes,Bani Mallick
Hyoung-moon Kim,Bani Mallick
Caroline Beunckens,Craig Mallinckrodt
Li Hsu,Kathleen Malone
Dankmar Böhning,Uwe Malzahn
Raymond Carroll,Enno Mammen
Wolfgang Härdle,Enno Mammen
Joel Horowitz,Enno Mammen
Valentin Konakov,Enno Mammen
Young K. Lee,Enno Mammen
Oliver Linton,Enno Mammen
Shande Chen,Amita Manatunga
Ying 1 Guo,Amita Manatunga
Robert H. Lyles,Amita Manatunga
Ayanendranath Basu,Abhijit Mandal
Ming-hung Kao,Abhyuday Mandal
V. K. Gupta,B. N. Mandal
Rebecca Betensky,Micha Mandel
Walter T. Federer,John P. Mandeli
Roelof Helmers,I. Wayan Mangku
Christos Koukouvinos,P. Mantas
Rui Chen,Nathan Mantel
Bruce Lindsay,Chang Xuan Mao
Taizhong Hu,Tiantian Mao
Dominique Fourdrinier,Éric Marchand
Mohammad Jafari Jozani,Éric Marchand
Tatsuya Kubokawa,Éric Marchand
Víctor Leiva,Carolina Marchant
Monia Lupparelli,Giovanni M. Marchetti
James P. Hobert,Dobrin Marchev
Holger Dette,Mareen Marchlewski
Michael Daniels,Bess Marcus
Amita Manatunga,Michele Marcus
Kyungmee Choi,John Marden
Arthur Cohen,John Marden
Ian Dryden,Kanti V. Mardia
Colin Goodall,Kanti V. Mardia
Peter E. Jupp,Kanti V. Mardia
John Kent,Kanti V. Mardia
Arnaud Guillin,Jean-michel Marin
Paolo Baldi,Domenico Marinucci
Claudio Durastanti,Domenico Marinucci
Gérard Kerkyacharian,Domenico Marinucci
Xiaohong Lan,Domenico Marinucci
Bruce Lindsay,Marianthi Markatou
Jerzy K. Baksalary,Augustyn Markiewicz
Katarzyna Filipiak,Augustyn Markiewicz
David Borchers,Tiago A. Marques
Jeongyoun Ahn,James S. Marron
Probal Chaudhuri,James S. Marron
Chih Kang Chu,James S. Marron
Nicholas I. Fisher,James S. Marron
Fred Godtliebsen,James S. Marron
Peter Hall,James S. Marron
Wolfgang Härdle,James S. Marron
Hanwen Huang,James S. Marron
M. C. Jones,James S. Marron
Sungkyu Jung,James S. Marron
Mihee Lee,James S. Marron
Yufeng Liu,James S. Marron
Xiaosun 2 Lu,James S. Marron
Enno Mammen,James S. Marron
Benoîte De Saporta,Laurence Marsalle
Anne Gégout-petit,Laurence Marsalle
Anna E. Barón,Guillermo Marshall
Rolando De La Cruz,Guillermo Marshall
Jean-michel Loubes,Clément Marteau
Gilles Celeux,Marie-laure Martin-magniette
Thomas Diciccio,Michael Martin
Peter Hall,Michael Martin
John A. Eccleston,R. J. Martin
Joachim Kunert,R. J. Martin
Chuanhai Liu,Ryan Martin
Nicoletta Cancrini,Fabio Martinelli
Pietro Caputo,Fabio Martinelli
Norberto Corral,Pablo Martínez-camblor
Jacobo De Uña-álvarez,Pablo Martínez-camblor
Wenceslao González-manteiga,María Dolores Martínez-miranda
Bent Jørgensen,José Raúl Martínez
Raymond Carroll,Josue G. Martinez
Javier Girón,M. Lina Martínez
Ivette Gomes,M. João Martins
Paul Eilers,Brian D. Marx
Sándor Csörgő,David Mason
Paul Deheuvels,David Mason
John H. J. Einmahl,David Mason
Uwe Einmahl,David Mason
Evarist Giné,David Mason
Erich Haeusler,David Mason
Lajos Horváth,David Mason
Narayanaswamy Balakrishnan,Robert L. Mason
Youn-min Chou,Robert L. Mason
Richard F. Gunst,Robert L. Mason
Jerome P. Keating,Robert L. Mason
Donald A. S. Fraser,Hélène Massam
Gérard Letac,Hélène Massam
Lucien Birgé,Pascal Massart
Stéphane Boucheron,Pascal Massart
Ionut Bebu,Thomas Mathew
Dulal Bhaumik,Thomas Mathew
Jinadasa Gamage,Thomas Mathew
K. Krishnamoorthy,Thomas Mathew
Manoj Kumar Sharma,Thomas Mathew
Victor H. Lachos,Larissa A. Matos
Pedro C. Álvarez-esteban,Carlos Matrán
Eusebio Arenal-gutiérrez,Carlos Matrán
Juan Antonio Cuesta,Carlos Matrán
Eustasio Del Barrio,Carlos Matrán
Luis A. García-escudero,Carlos Matrán
Alfonso Gordaliza,Carlos Matrán
Vern Farewell,David E. Matthews
Robin Henderson,John N. S. Matthews
P.-a. Cornillon,Eric Matzner-løber
Dimitrios Ioannides,Eric Matzner-løber
Gilles Celeux,Cathy Maugis-rabusseau
Marie-laure Martin-magniette,Cathy Maugis-rabusseau
Frank Bretz,Willi Maurer
Andrea Cipriani,Dimitris Mavridis
Haitao Chu,Ryan C. May
Joseph Ibrahim,Ryan C. May
Luis A. García-escudero,Agustín Mayo-iscar
Alfonso Gordaliza,Agustín Mayo-iscar
Carlos Matrán,Agustín Mayo-iscar
Jean-michel Loubes,Élie Maza
Jorge Alberto Achcar,Josmar Mazucheli
Emílio Augusto Coelho-barros,Josmar Mazucheli
Trevor Hastie,Rahul Mazumder
Beth Ann Griffin,Daniel Mccaffrey
J. R. Lockwood,Daniel Mccaffrey
Paul Gustafson,Lawrence C. Mccandless
Adrian Levy,Lawrence C. Mccandless
Robert D. Henderson,Pamela A. Mccombe
Philip Griffin,Terry R. Mcconnell
David Madigan,Tyler H. Mccormick
Philippe Barbe,William P. Mccormick
Ishwar Basawa,William P. Mccormick
Somnath Datta,William P. Mccormick
Ashim Mallik,William P. Mccormick
George Mathew,William P. Mccormick
Ross Boylan,Charles Mcculloch
Ziding Feng,Charles Mcculloch
Haiqun Lin,Charles Mcculloch
Anders Ekholm,John W. Mcdonald
Jonathan J. Forster,John W. Mcdonald
Scott Holan,Tucker Mcelroy
Agnieszka Jach,Tucker Mcelroy
Peter Baade,James Mcgree
Christopher C. Drovandi,James Mcgree
John A. Eccleston,James Mcgree
Rose Baker,Ian Mchale
John H. J. Einmahl,Ian W. Mckeague
Peter Gilbert,Ian W. Mckeague
Priscilla Greenwood,Ian W. Mckeague
Thomas P. Hettmansperger,Joseph Mckean
Kaye E. Basford,Geoffrey J. Mclachlan
Andy Lee,Geoffrey J. Mclachlan
Paul S. Albert,Lisa M. Mcshane
Edward L. Korn,Lisa M. Mcshane
Steven Gilmour,Roger Mead
Fan Li,Fabrizia Mealli
Alessandra Mattei,Fabrizia Mealli
Malay Ghosh,Glen Meeden
Paul L. Anderson,Mark Meerschaert
Gouri K. Bhattacharyya,Kishan G. Mehrotra
Richard Johnson,Kishan G. Mehrotra
Chris Corcoran,Cyrus Mehta
Peter Bühlmann,Lukas Meier
Peter Bühlmann,Nicolai Meinshausen
Jacobo De Uña-álvarez,Luís Meira-machado
Aurore Delaigle,Alexander Meister
Marc Hallin,Guy Mélard
André Klein,Guy Mélard
Holger Dette,Viatcheslav Melas
Ricardo Fraiman,Jean Meloche
Antonio Lijoi,Ramsés H. Mena
Julio Angel Pardo,Maria Luisa Menéndez
Heng Lian,Jie Meng
Clair Alston,Kerrie Mengersen
Peter Baade,Kerrie Mengersen
Eve Bofinger,Kerrie Mengersen
Margaret Donald,Kerrie Mengersen
Petra L. Graham,Kerrie Mengersen
Petra M. Kuhnert,Kerrie Mengersen
James Mcgree,Kerrie Mengersen
Ross Mcvinish,Kerrie Mengersen
Caroline Bazzoli,France Mentré
Emmanuelle Comets,France Mentré
Marc Lavielle,France Mentré
Alain Mallet,France Mentré
Irwin Guttman,Ulrich Menzefricke
Malay Ghosh,Victor Mergel
Jérôme Dedecker,Florence Merlevède
Hakan Demirtas,Robin Mermelstein
Donald Hedeker,Robin Mermelstein
Gail Ivanoff,Ely Merzbach
Michel Denuit,Mhamed Mesfioui
Bo Cai,Renate Meyer
Zhidong Bai,Baiqi Miao
Longbing Cao,Baiqi Miao
Baisuo Jin,Baiqi Miao
Sanpei Kageyama,Ying Miao
Moulinath Banerjee,George Michailidis
Mark Culp,George Michailidis
Jan De Leeuw,George Michailidis
Jian Guo,George Michailidis
Elizaveta Levina,George Michailidis
Ramesh Gupta,Joel Michalek
Kishan G. Mehrotra,Joel Michalek
Jérôme Dedecker,Bertrand Michel
Stuart Lipsitz,Bart Michiels
Ashish Das,Chand K. Midha
Aloke Dey,Chand K. Midha
Raymond Carroll,Douglas Midthune
Kevin W. Dodd,Douglas Midthune
Michael P. Fay,Douglas Midthune
Laurence Freedman,Douglas Midthune
Victor Kipnis,Douglas Midthune
Sándor Csörgő,Jan Mielniczuk
Jan Ćwik,Jan Mielniczuk
Richard Davis,Thomas Mikosch
Claudia Klüppelberg,Thomas Mikosch
Ariel Alonso,Elasma Milanzi
Markos Koutras,F. S. Milienos
Charmaine Dean,Ana F. Militino
T. Goicoa,Ana F. Militino
Rudolf Beran,P. W. Millar
Wolfgang Bischoff,Frank Miller
Tim Friede,Frank Miller
Peter Hall,Hugh Miller
J. Richard Landis,Michael E. Miller
Yiling Lu,Gordon Mills
Claudia Czado,Aleksey Min
Alan Agresti,Yongyi Min
Keith R. Abrams,Cosetta Minelli
Marc Aerts,Koen Mintiens
Alan Gelfand,Marie Lynn Miranda
Jafar Ahmadi,S. M. T. K. Mirmostafaee
Ishwari Dutt Dhariyal,Neeraj Misra
Gaurav Garg,Neeraj Misra
Amit Kumar Misra,Neeraj Misra
Robert H. Lyles,Emily M. Mitchell
Duncan Lee,Richard Mitchell
Debasis Kundu,Amit Mitra
Yuan Ji,Riten Mitra
Tony Hayter,Tetsuhisa Miwa
Roger Koenker,Ivan Mizera
Jade Freeman,Reza Modarres
Joseph L. Gastwirth,Reza Modarres
Zhenyu Liu,Reza Modarres
Els Goetghebeur,Beatrijs Moerkerke
John Klein,M. L. Moeschberger
Odd Aalen,Tron Anders Moger
Hossein Baghishani,Mohsen Mohammadzadeh
John Kent,Mohsen Mohammadzadeh
Lorien S. Dalrymple,Sandra M. Mohammed
Ricardo Cao,Elisa María Molanes-lópez
Emmanuel Lesaffre,Marek Molas
Jürgen Gärtner,Stanislav Molchanov
Carlos Acuña,Geert Molenberghs
Marc Aerts,Geert Molenberghs
Ariel Alonso,Geert Molenberghs
Caroline Beunckens,Geert Molenberghs
Philippe Beutels,Geert Molenberghs
Luc Bijnens,Geert Molenberghs
Liesbeth Bruckers,Geert Molenberghs
Tomasz Burzykowski,Geert Molenberghs
Marc Buyse,Geert Molenberghs
Carmen Cadarso-suárez,Geert Molenberghs
José Cortinas Abrahantes,Geert Molenberghs
Desmond Curran,Geert Molenberghs
Clarice G. B. Demétrio,Geert Molenberghs
Christel Faes,Geert Molenberghs
Garrett Fitzmaurice,Geert Molenberghs
Helena Geys,Geert Molenberghs
Els Goetghebeur,Geert Molenberghs
Niel Hens,Geert Molenberghs
Joseph Ibrahim,Geert Molenberghs
Samuel Iddi,Geert Molenberghs
Ivy Jansen,Geert Molenberghs
Mike Kenward,Geert Molenberghs
Annouschka Laenen,Geert Molenberghs
Emmanuel Lesaffre,Geert Molenberghs
Stuart Lipsitz,Geert Molenberghs
Saskia Litière,Geert Molenberghs
Craig Mallinckrodt,Geert Molenberghs
Bart Michiels,Geert Molenberghs
Elasma Milanzi,Geert Molenberghs
María José Lombardía,Isabel Molina
Michael Evans,Georges Monette
John Fox,Georges Monette
Donald A. S. Fraser,Georges Monette
Francesco Bartolucci,Giorgio E. Montanari
José E. Chacón,Jesús Montanero
Valerii Fedorov,Grace Montepiedra
Thomas Diciccio,Anna Clara Monti
Marina B. Klein,Erica E. M. Moodie
Hongshik Ahn,Hojin Moon
Ralph L. Kodell,Hojin Moon
María Del Carmen Pardo,Domingo Morales
M. Dolores Esteban,Domingo Morales
Tomáš Hobza,Domingo Morales
María José Lombardía,Domingo Morales
Yolanda Marhuenda,Domingo Morales
Maria Luisa Menéndez,Domingo Morales
Isabel Molina,Domingo Morales
Dani Gamerman,Ajax R. B. Moreira
Jacobo De Uña-álvarez,Carla Moreira
Francesco Bertolino,Elías Moreno
George Casella,Elías Moreno
Javier Girón,Elías Moreno
M. Lina Martínez,Elías Moreno
Panagiotis Besbeas,Byron J. T. Morgan
Steve 1 Brooks,Byron J. T. Morgan
E. A. Catchpole,Byron J. T. Morgan
Diana J. Cole,Byron J. T. Morgan
T. Coulson,Byron J. T. Morgan
Stephen N. Freeman,Byron J. T. Morgan
Ian T. Jolliffe,Byron J. T. Morgan
Byron Jones,Byron J. T. Morgan
Ruth King,Byron J. T. Morgan
Robert M. Elashoff,Timothy M. Morgan
Larry J. Brant,Christopher Morrell
Herbert B. Carter,Christopher Morrell
Richard Johnson,Christopher Morrell
Bradley Efron,Carl Morris
Philip Brown,Jeffrey S. Morris
Raymond Carroll,Jeffrey S. Morris
Brent Coull,Jeffrey S. Morris
Richard Herrick,Jeffrey S. Morris
Toby Mitchell,Max Morris
James Berger,Julia Mortera
A. Philip Dawid,Julia Mortera
Peter Diggle,Tony Morton-jones
Thomas P. Hettmansperger,Jyrki Möttönen
Olivier Cappé,Éric Moulines
Randal Douc,Éric Moulines
Gersende Fort,Éric Moulines
Marc Lavielle,Éric Moulines
Céline Lévy-leduc,Éric Moulines
Enrique Andjel,Thomas Mountford
Mike Cranston,Thomas Mountford
Robert C. Dalang,Thomas Mountford
Yogendra P. Chaubey,Govind S. Mudholkar
Marshall Freimer,Govind S. Mudholkar
Alan Hutson,Govind S. Mudholkar
Georgia Kollia,Govind S. Mudholkar
C. Thomas Lin,Govind S. Mudholkar
Michael P. Mcdermott,Govind S. Mudholkar
Robert C. Dalang,Carl Mueller
Donald Dawson,Carl Mueller
Klaus Fleischmann,Carl Mueller
Hammou El Barmi,Hari Mukerjee
Subhash Kochar,Hari Mukerjee
Edgardo Lorenzo,Hari Mukerjee
Ganesh Malla,Hari Mukerjee
Mausumi Bose,Rahul Mukerjee
Ling-yau Chan,Rahul Mukerjee
Tapas K. Chandra,Rahul Mukerjee
In Hong Chang,Rahul Mukerjee
Kashinath Chatterjee,Rahul Mukerjee
Ching Shui Chêng,Rahul Mukerjee
Aloke Dey,Rahul Mukerjee
Kai Tai Fang,Rahul Mukerjee
Jayanta K. Ghosh,Rahul Mukerjee
Malay Ghosh,Rahul Mukerjee
Sudhir Gupta,Rahul Mukerjee
S. Huda,Rahul Mukerjee
Sanpei Kageyama,Rahul Mukerjee
Jaeil Ahn,Bhramar Mukherjee
Philip S. Boonstra,Bhramar Mukherjee
Jinbo Chen,Bhramar Mukherjee
Malay Ghosh,Bhramar Mukherjee
Stephen Gruber,Bhramar Mukherjee
Ivy Liu,Bhramar Mukherjee
Victor Moreno,Bhramar Mukherjee
Malay Ghosh,Nitis Mukhopadhyay
Paolo Bulla,Pietro Muliere
Ivan Mizera,Christine Müller
William B. Capra,Hans-georg Müller
Kehui Chen,Hans-georg Müller
Jeng-min Chiou,Hans-georg Müller
Andrew Clifford,Hans-georg Müller
Theo Gasser,Hans-georg Müller
Peter Hall,Hans-georg Müller
Guozhong He,Hans-georg Müller
Yueh-yun Chi,Keith E. Muller
Christopher S. Coffey,Keith E. Muller
Lloyd J. Edwards,Keith E. Muller
Deborah H. Glueck,Keith E. Muller
Matthew Gribbin,Keith E. Muller
Matthew J. Gurka,Keith E. Muller
Lawrence L. Kupper,Keith E. Muller
Maria De Iorio,Peter Müller
Kim-anh Do,Peter Müller
Yuan Ji,Peter Müller
Juhee Lee,Peter Müller
Luis León-novelo,Peter Müller
Steven Maceachern,Peter Müller
Riten Mitra,Peter Müller
Zhen Chen,Sunni L. Mumford
Nicolai Bissantz,Axel Munk
Claudia Czado,Axel Munk
Holger Dette,Axel Munk
Lutz Dümbgen,Axel Munk
Gudrun Freitag,Axel Munk
Hajo Holzmann,Axel Munk
Thomas Hotz,Axel Munk
Stephan Huckemann,Axel Munk
Vincent Carey,Alvaro Muñoz
