source,target
Haitao Chu,Stephen R. Cole
Heleno Bolfarine,Enrico A. Colosimo
Ahmadou Alioum,Daniel Commenges
Elodie Brunel,Fabienne Comte
Efstathia Bura,Dennis Cook
Xin 1 Chen,Dennis Cook
Francesca Chiaromonte,Dennis Cook
Andreas Buja,Dianne Cook
Baojiang Chen,Richard J. Cook
Keith R. Abrams,Nicola J. Cooper
A. E. Ades,Nicola J. Cooper
Lúcia P. Barroso,Gauss M. Cordeiro
Denise A. Botter,Gauss M. Cordeiro
Renato Assunção,Thais Correa
Tomasz Burzykowski,José Cortinas Abrahantes
Renato Assunção,Marcelo Azevedo Costa
Alan Agresti,Brent Coull
Rebecca Betensky,Brent Coull
Ole Barndorff-nielsen,David Cox
Maury Bramson,J. Theodore Cox
Brian Caffo,Ciprian Crainiceanu
Raymond Carroll,Ciprian Crainiceanu
Narayanaswamy Balakrishnan,Erhard Cramer
Marco Burkschat,Erhard Cramer
Richard Bass,Mike Cranston
Gauss M. Cordeiro,Francisco Cribari-neto
J. T. Alcalá,J. A. Cristóbal Cristóbal
Kris Boudt,Christophe Croux
Gerda Claeskens,Christophe Croux
Adam R. Brentnall,Martin Crowder
István Berkes,Endre Csáki
Endre Csáki,Miklós Csörgő
Miklós Csörgő,Sándor Csörgő
Pedro C. Álvarez-esteban,Juan Antonio Cuesta
Amparo Baíllo,Antonio Cuevas
José R. Berrendero,Antonio Cuevas
Juan Antonio Cuesta,Antonio Cuevas
Song Xi Chen,Hengjian Cui
Douglas G. Altman,François Curtin
Gauss M. Cordeiro,Audrey H. M. A. Cysneiros
Francisco Cribari-neto,Audrey H. M. A. Cysneiros
Ahmadou Alioum,François Dabis
Richard Charnigo,Hongying Dai
Babette Brumback,Amy B. Dailey
David Cox,Sarah Darby
Abdel Babiker,Janet H. Darbyshire
Daniel Commenges,Jean-françois Dartigues
Kashinath Chatterjee,Ashish Das
Lawrence 1 Brown,Anirban Dasgupta
Narayanaswamy Balakrishnan,Katherine F. Davies
Beth Andrews,Richard Davis
Peter Brockwell,Richard Davis
Odd Aalen,Daniela De Angelis
A. E. Ades,Daniela De Angelis
Stefano Conti,Daniela De Angelis
Nicholas E. Day,Daniela De Angelis
Claudia Angelini,Daniela De Canditiis
Heleno Bolfarine,Mário De Castro
Vicente G. Cancho,Mário De Castro
Gauss M. Cordeiro,Mário De Castro
Juan-juan Cai,Laurens De Haan
